,GEOID,CD
0,13287,06
1,13257,04
2,13263,06
3,13121,04
4,13009,06
5,13115,05
6,13061,06
7,13091,03
8,13085,04
9,13245,01
10,13187,01
11,13271,02
12,13185,03
13,13051,01
14,13063,05
15,13217,04
16,13197,05
17,13181,01
18,13039,02
19,13165,01
20,13231,06
21,13127,02
22,13207,06
23,13177,06
24,13195,01
25,13049,02
26,13023,03
27,13079,06
28,13129,04
29,13149,05
30,13213,04
31,13133,01
32,13021,06
33,13235,03
34,13081,06
35,13045,05
36,13073,01
37,13211,01
38,13247,04
39,13083,05
40,13131,06
41,13101,03
42,13163,01
43,13095,03
44,13141,01
45,13001,02
46,13171,05
47,13005,02
48,13309,02
49,13125,02
50,13183,01
51,13017,03
52,13087,06
53,13147,04
54,13109,01
55,13189,01
56,13193,06
57,13253,06
58,13205,03
59,13307,05
60,13239,06
61,13233,05
62,13119,04
63,13031,01
64,13137,04
65,13283,01
66,13289,03
67,13191,02
68,13047,05
69,13143,05
70,13229,02
71,13295,05
72,13243,06
73,13025,02
74,13267,02
75,13291,04
76,13173,03
77,13113,05
78,13319,03
79,13057,04
80,13029,01
81,13273,06
82,13067,04
83,13071,03
84,13151,05
85,13157,01
86,13011,01
87,13219,01
88,13035,04
89,13145,05
90,13265,01
91,13285,05
92,13019,02
93,13305,02
94,13241,04
95,13123,04
96,13269,06
97,13315,03
98,13179,01
99,13209,02
100,13299,03
101,13059,01
102,13015,04
103,13303,02
104,13201,03
105,13107,01
106,13199,06
107,13065,03
108,13103,01
109,13097,05
110,13135,04
111,13111,04
112,13215,05
113,13225,06
114,13161,02
115,13293,05
116,13077,05
117,13099,06
118,13093,03
119,13167,02
120,13223,05
121,13261,06
122,13105,01
123,13155,03
124,13153,06
125,13013,04
126,13275,03
127,13007,03
128,13259,06
129,13117,04
130,13255,05
131,13055,05
132,13169,06
133,13159,01
134,13089,04
135,13037,06
136,13251,01
137,13317,01
138,13297,04
139,13175,02
140,13321,03
141,13277,03
142,13033,01
143,13043,02
144,13237,01
145,13249,06
146,13221,01
147,13281,04
148,13139,01
149,13069,02
150,13003,02
151,13075,03
152,13313,04
153,13027,03
154,13301,02
155,13311,04
156,13053,05
157,13279,01
158,13227,04
